subject,session,trial_type,f1,f2
def-1-16-08,1,miss,237,470
def-1-16-08,1,miss,13,10
def-1-16-08,1,miss,10,382
def-1-16-08,1,miss,382,3909
def-1-16-08,1,miss,169,499
def-1-16-08,1,miss,499,382
def-1-16-08,1,miss,795,1977
def-1-16-08,1,miss,1977,421
def-1-16-08,1,miss,421,3909
def-1-16-08,1,miss,59,34
def-1-16-08,1,miss,138,48
def-1-16-08,1,miss,57,1977
def-1-16-08,1,miss,1977,102
def-1-16-08,1,miss,102,3909
def-1-16-08,1,miss,244,3909
def-1-16-08,1,miss,268,309
def-1-16-08,1,miss,309,156
def-1-16-08,1,miss,156,29
def-1-16-08,1,miss,444,287
def-1-16-08,1,miss,287,14
def-1-16-08,1,miss,14,532
def-1-16-08,1,miss,13,3909
def-1-16-08,1,miss,192,3909
def-1-16-08,1,miss,21,3909
def-1-16-08,1,miss,321,349
def-1-16-08,1,miss,400,11
def-1-16-08,1,miss,41,664
def-1-16-08,1,miss,129,882
def-1-16-08,1,miss,14,1977
def-1-16-08,1,miss,613,85
def-1-16-08,1,miss,85,1578
def-1-16-08,1,miss,1578,29
def-1-16-08,1,miss,29,51
def-1-16-08,1,miss,46,470
def-1-16-08,1,miss,188,321
def-1-16-08,1,miss,1318,29
def-1-16-08,1,miss,364,52
def-1-16-08,1,miss,252,125
def-1-16-08,1,miss,125,16
def-1-16-08,1,miss,34,172
def-1-16-08,1,miss,1578,23
def-1-16-08,1,miss,723,1977
def-1-16-08,1,miss,1977,22
def-1-16-08,1,miss,22,664
def-1-16-08,1,miss,664,94
def-1-16-08,1,miss,54,3909
def-1-16-08,1,miss,1578,172
def-1-16-08,1,miss,153,138
def-1-16-08,1,miss,499,64
def-1-16-08,1,miss,400,470
def-1-16-08,1,miss,118,66
def-1-16-08,1,miss,532,1977
def-1-16-08,1,miss,35,268
def-1-16-08,1,miss,1977,244
def-1-16-08,1,miss,81,991
def-1-16-08,1,miss,268,1977
def-1-16-08,1,miss,795,260
def-1-16-08,1,miss,37,1578
def-1-16-08,1,miss,27,21
def-1-16-08,1,miss,50,13
def-1-16-08,1,miss,121,46
def-1-16-08,1,miss,150,39
def-1-16-08,1,miss,145,664
def-1-16-08,1,miss,26,31
def-1-16-08,1,miss,125,35
def-1-16-08,1,miss,35,882
def-1-16-08,1,miss,444,172
def-1-16-08,1,miss,991,12
def-1-16-08,1,miss,12,570
def-1-16-08,1,miss,23,54
def-1-16-08,1,miss,7764,87
def-1-16-08,1,miss,87,991
